Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,mrp_rupees,selling_price_rupees,savings,discount_category,stock_status,price_category,weight_category,quantity_category,sku_id
Munchies,Dabur Hommade - Ginger Garlic Past Tub,11000,5,6,10400,400,False,400,110.0,104.0,6.0,Low Discount,In Stock,Affordable,Medium,Bulk Pack,954
Munchies,Everest Chicken Masala,14700,10,6,13200,200,False,200,147.0,132.0,15.0,Low Discount,In Stock,Affordable,Light,Bulk Pack,955
Munchies,Gits Medu Vada Instant Snack Mix,9000,4,6,8600,200,False,200,90.0,86.0,4.0,Low Discount,In Stock,Affordable,Light,Bulk Pack,956
Munchies,Weikfield Drinking Chocolate Powder,6500,10,6,5800,100,False,100,65.0,58.0,7.0,Low Discount,In Stock,Affordable,Light,Bulk Pack,957
Munchies,Popular Essentials Regular White Lobia,7000,10,6,6300,500,False,500,70.0,63.0,7.0,Low Discount,In Stock,Affordable,Medium,Bulk Pack,958
Munchies,Puro Healthy Salt Crystal,13500,7,6,12500,1000,False,1,135.0,125.0,10.0,Low Discount,In Stock,Affordable,Heavy,Single,959
Munchies,Popular Essentials Premium Jeera Rice,14000,0,5,14000,1000,False,1,140.0,140.0,0.0,No Discount,Low Stock,Affordable,Heavy,Single,960
Munchies,Smith & Jones Shahi Paneer Masala Mix,4400,0,6,4400,60,False,60,44.0,44.0,0.0,No Discount,In Stock,Budget,Light,Bulk Pack,961
Munchies,Betty Crocker Mug Treats - Chocolate Mix - Pack of 4,20000,11,6,17800,264,False,264,200.0,178.0,22.0,Medium Discount,In Stock,Affordable,Medium,Bulk Pack,962
Munchies,Smith & Jones Pasta Masala,6000,10,5,5400,108,False,108,60.0,54.0,6.0,Low Discount,Low Stock,Affordable,Light,Bulk Pack,963
Munchies,Catch Black Pepper Sprinkler,10000,0,1,10000,50,False,50,100.0,100.0,0.0,No Discount,Low Stock,Affordable,Light,Bulk Pack,964
Munchies,Weikfield Cooker Cake Mix - Chocolate,9500,6,6,8900,150,False,150,95.0,89.0,6.0,Low Discount,In Stock,Affordable,Light,Bulk Pack,965
Munchies,ITC Master Chef Butter Chicken,7500,30,6,5200,80,False,80,75.0,52.0,23.0,High Discount,In Stock,Affordable,Light,Bulk Pack,966
Munchies,Masala Oats Masala & Coriander ,19500,9,5,17600,500,False,500,195.0,176.0,19.0,Low Discount,Low Stock,Affordable,Medium,Bulk Pack,967
Munchies,Smith & Jones Mutter Paneer Masala,4200,0,6,4200,60,False,60,42.0,42.0,0.0,No Discount,In Stock,Budget,Light,Bulk Pack,968
Munchies,Kitchens of India Dal Bukhara Gravy Mix,11000,30,6,7700,285,False,285,110.0,77.0,33.0,High Discount,In Stock,Affordable,Medium,Bulk Pack,969
Munchies,Popular Essentials Fried Gram (Bengal Gram),7000,10,6,6300,500,False,500,70.0,63.0,7.0,Low Discount,In Stock,Affordable,Medium,Bulk Pack,970
